generated_matches (1)
profile_id,tender_id,עובר_אזור,עובר_זכאות,עובר_חסר_דיור,score_סופי
P002,m22,1.0,1.0,1.0,1.0
P002,m29,1.0,1.0,1.0,1.0
P002,m30,1.0,1.0,1.0,1.0
P002,m31,1.0,1.0,1.0,1.0
P002,m48,1.0,1.0,1.0,1.0
P002,m51,1.0,1.0,1.0,1.0
P002,m54,1.0,1.0,1.0,1.0
P002,m61,1.0,1.0,1.0,1.0
P002,m69,1.0,1.0,1.0,1.0
P004,m1,1.0,1.0,1.0,1.0
P004,m2,1.0,1.0,1.0,1.0
P004,m4,1.0,1.0,1.0,1.0
P004,m5,1.0,1.0,1.0,1.0
P004,m6,1.0,1.0,1.0,1.0
P004,m7,1.0,1.0,1.0,1.0
P004,m8,1.0,1.0,1.0,1.0
P004,m9,1.0,1.0,1.0,1.0
P004,m10,1.0,1.0,1.0,1.0
P004,m60,1.0,1.0,1.0,1.0
P006,m63,1.0,1.0,1.0,1.0
P006,m64,1.0,1.0,1.0,1.0
P006,m65,1.0,1.0,1.0,1.0
P006,m66,1.0,1.0,1.0,1.0
P006,m67,1.0,1.0,1.0,1.0
P010,m70,1.0,1.0,1.0,1.0
P011,m22,1.0,1.0,1.0,1.0
P011,m29,1.0,1.0,1.0,1.0
P011,m30,1.0,1.0,1.0,1.0
P011,m31,1.0,1.0,1.0,1.0
P011,m48,1.0,1.0,1.0,1.0
P011,m51,1.0,1.0,1.0,1.0
P011,m54,1.0,1.0,1.0,1.0
P011,m61,1.0,1.0,1.0,1.0
P011,m69,1.0,1.0,1.0,1.0
P012,m1,1.0,1.0,1.0,1.0
P012,m2,1.0,1.0,1.0,1.0
P012,m4,1.0,1.0,1.0,1.0
P012,m5,1.0,1.0,1.0,1.0
P012,m6,1.0,1.0,1.0,1.0
P012,m7,1.0,1.0,1.0,1.0
P012,m8,1.0,1.0,1.0,1.0
P012,m9,1.0,1.0,1.0,1.0
P012,m10,1.0,1.0,1.0,1.0
P012,m60,1.0,1.0,1.0,1.0
P013,m56,1.0,1.0,1.0,1.0
P014,m11,1.0,1.0,1.0,1.0
P014,m12,1.0,1.0,1.0,1.0
P014,m13,1.0,1.0,1.0,1.0
P014,m14,1.0,1.0,1.0,1.0
P014,m15,1.0,1.0,1.0,1.0
P014,m16,1.0,1.0,1.0,1.0
P014,m17,1.0,1.0,1.0,1.0
P014,m18,1.0,1.0,1.0,1.0
P014,m19,1.0,1.0,1.0,1.0
P014,m20,1.0,1.0,1.0,1.0
P014,m28,1.0,1.0,1.0,1.0
P014,m49,1.0,1.0,1.0,1.0
P014,m50,1.0,1.0,1.0,1.0
P014,m52,1.0,1.0,1.0,1.0
P014,m53,1.0,1.0,1.0,1.0
P014,m55,1.0,1.0,1.0,1.0
P014,m57,1.0,1.0,1.0,1.0
P014,m63,1.0,1.0,1.0,1.0
P014,m64,1.0,1.0,1.0,1.0
P014,m65,1.0,1.0,1.0,1.0
P014,m66,1.0,1.0,1.0,1.0
P014,m67,1.0,1.0,1.0,1.0
P014,m68,1.0,1.0,1.0,1.0
